day,grid_id,risk_score
2025-08-03 00:00:00+00:00,R226C596,0.2
2025-08-04 00:00:00+00:00,R231C601,0.2
2025-08-05 00:00:00+00:00,R220C601,0.2
2025-08-06 00:00:00+00:00,R226C605,0.2
2025-08-07 00:00:00+00:00,R226C596,0.2
2025-08-08 00:00:00+00:00,R231C601,0.2
2025-08-09 00:00:00+00:00,R220C601,0.2
2025-08-10 00:00:00+00:00,R226C605,0.2
2025-08-11 00:00:00+00:00,R226C596,0.2
2025-08-12 00:00:00+00:00,R231C601,0.2
2025-08-13 00:00:00+00:00,R220C601,0.2
2025-08-14 00:00:00+00:00,R226C605,0.2
2025-08-15 00:00:00+00:00,R226C596,0.3
2025-08-16 00:00:00+00:00,R231C601,0.2
2025-08-17 00:00:00+00:00,R220C601,0.2
2025-08-18 00:00:00+00:00,R226C605,0.2
2025-08-19 00:00:00+00:00,R226C596,0.2
2025-08-20 00:00:00+00:00,R231C601,0.2
2025-08-21 00:00:00+00:00,R220C601,0.2
2025-08-22 00:00:00+00:00,R226C605,0.2
2025-08-23 00:00:00+00:00,R226C596,0.2
2025-08-24 00:00:00+00:00,R231C601,0.2
2025-08-25 00:00:00+00:00,R220C601,0.2
2025-08-26 00:00:00+00:00,R226C605,0.2
2025-08-27 00:00:00+00:00,R226C596,0.2
2025-08-28 00:00:00+00:00,R231C601,0.2
2025-08-29 00:00:00+00:00,R220C601,0.2
2025-08-30 00:00:00+00:00,R226C605,0.2
2025-08-31 00:00:00+00:00,R226C596,0.2
2025-09-01 00:00:00+00:00,R220C601,0.2
2025-09-02 00:00:00+00:00,R226C605,0.2
2025-09-03 00:00:00+00:00,R226C596,0.2
2025-09-04 00:00:00+00:00,R231C601,0.2
2025-09-05 00:00:00+00:00,R220C601,0.2
2025-09-06 00:00:00+00:00,R226C605,0.2
2025-09-07 00:00:00+00:00,R226C596,0.2
2025-09-08 00:00:00+00:00,R231C601,0.2
2025-09-09 00:00:00+00:00,R220C601,0.2
2025-09-10 00:00:00+00:00,R226C605,0.2
2025-09-11 00:00:00+00:00,R226C596,0.2
2025-09-12 00:00:00+00:00,R231C601,0.2
2025-09-13 00:00:00+00:00,R220C601,0.2
2025-09-14 00:00:00+00:00,R226C605,0.2
2025-09-15 00:00:00+00:00,R226C596,0.2
2025-09-16 00:00:00+00:00,R231C601,0.2
2025-09-17 00:00:00+00:00,R220C601,0.2
2025-09-18 00:00:00+00:00,R226C605,0.2
2025-09-19 00:00:00+00:00,R226C596,0.2
2025-09-20 00:00:00+00:00,R231C601,0.2
2025-09-21 00:00:00+00:00,R212C601,0.4
2025-09-21 00:00:00+00:00,R220C601,0.2
2025-09-21 00:00:00+00:00,R222C588,0.4
2025-09-21 00:00:00+00:00,R222C600,0.4
2025-09-21 00:00:00+00:00,R223C587,0.4000000000000001
2025-09-21 00:00:00+00:00,R224C586,0.4
2025-09-21 00:00:00+00:00,R224C587,0.4
2025-09-21 00:00:00+00:00,R224C600,0.4
2025-09-21 00:00:00+00:00,R225C585,0.4
2025-09-21 00:00:00+00:00,R225C586,0.4
2025-09-21 00:00:00+00:00,R225C587,0.4
2025-09-21 00:00:00+00:00,R225C588,0.4
2025-09-21 00:00:00+00:00,R226C587,0.4
2025-09-21 00:00:00+00:00,R226C598,0.4
2025-09-21 00:00:00+00:00,R226C600,0.4
2025-09-21 00:00:00+00:00,R227C599,0.4
2025-09-21 00:00:00+00:00,R227C600,0.4
2025-09-21 00:00:00+00:00,R227C601,0.4
2025-09-21 00:00:00+00:00,R228C595,0.4
2025-09-21 00:00:00+00:00,R228C596,0.4
2025-09-21 00:00:00+00:00,R228C601,0.4
2025-09-21 00:00:00+00:00,R229C601,0.4
2025-09-21 00:00:00+00:00,R229C605,0.4
2025-09-21 00:00:00+00:00,R230C602,0.4
2025-09-21 00:00:00+00:00,R231C605,0.4
2025-09-21 00:00:00+00:00,R232C615,0.4
2025-09-21 00:00:00+00:00,R233C604,0.4
2025-09-21 00:00:00+00:00,R233C605,0.4
2025-09-21 00:00:00+00:00,R234C605,0.4
2025-09-21 00:00:00+00:00,R234C615,0.4
2025-09-21 00:00:00+00:00,R235C613,0.4
