day,grid_id,risk_score
2025-09-12 00:00:00+00:00,R231C601,0.2
2025-09-13 00:00:00+00:00,R220C601,0.2
2025-09-14 00:00:00+00:00,R226C605,0.2
2025-09-15 00:00:00+00:00,R226C596,0.2
2025-09-16 00:00:00+00:00,R231C601,0.2
2025-09-17 00:00:00+00:00,R220C601,0.2
2025-09-18 00:00:00+00:00,R226C605,0.2
2025-09-19 00:00:00+00:00,R226C596,0.2
2025-09-20 00:00:00+00:00,R231C601,0.2
2025-09-21 00:00:00+00:00,R212C601,0.4
2025-09-21 00:00:00+00:00,R212C602,0.4
2025-09-21 00:00:00+00:00,R213C601,0.4
2025-09-21 00:00:00+00:00,R220C588,0.4
2025-09-21 00:00:00+00:00,R220C601,0.30000000000000004
2025-09-21 00:00:00+00:00,R222C587,0.4
2025-09-21 00:00:00+00:00,R222C589,0.4
2025-09-21 00:00:00+00:00,R222C600,0.4
2025-09-21 00:00:00+00:00,R223C585,0.4
2025-09-21 00:00:00+00:00,R223C587,0.4
2025-09-21 00:00:00+00:00,R223C588,0.4000000000000001
2025-09-21 00:00:00+00:00,R223C589,0.4
2025-09-21 00:00:00+00:00,R223C601,0.4
2025-09-21 00:00:00+00:00,R224C586,0.4
2025-09-21 00:00:00+00:00,R224C587,0.4
2025-09-21 00:00:00+00:00,R224C588,0.4
2025-09-21 00:00:00+00:00,R224C589,0.4
2025-09-21 00:00:00+00:00,R224C592,0.4
2025-09-21 00:00:00+00:00,R224C599,0.4
2025-09-21 00:00:00+00:00,R225C586,0.4
2025-09-21 00:00:00+00:00,R225C587,0.4
2025-09-21 00:00:00+00:00,R225C602,0.4
2025-09-21 00:00:00+00:00,R225C603,0.4
2025-09-21 00:00:00+00:00,R226C584,0.4
2025-09-21 00:00:00+00:00,R226C586,0.4000000000000001
2025-09-21 00:00:00+00:00,R226C587,0.4
2025-09-21 00:00:00+00:00,R226C588,0.4
2025-09-21 00:00:00+00:00,R226C599,0.4
2025-09-21 00:00:00+00:00,R227C594,0.4
2025-09-21 00:00:00+00:00,R227C599,0.4
2025-09-21 00:00:00+00:00,R227C600,0.4
2025-09-21 00:00:00+00:00,R227C601,0.4
2025-09-21 00:00:00+00:00,R229C597,0.4
2025-09-21 00:00:00+00:00,R229C602,0.4
2025-09-21 00:00:00+00:00,R229C603,0.4
2025-09-21 00:00:00+00:00,R230C601,0.4
2025-09-21 00:00:00+00:00,R230C602,0.4000000000000001
2025-09-21 00:00:00+00:00,R230C603,0.4000000000000001
2025-09-21 00:00:00+00:00,R231C605,0.4
2025-09-21 00:00:00+00:00,R232C600,0.4
2025-09-21 00:00:00+00:00,R232C611,0.4
2025-09-21 00:00:00+00:00,R232C613,0.4
2025-09-21 00:00:00+00:00,R233C611,0.4
2025-09-21 00:00:00+00:00,R235C611,0.4
2025-09-21 00:00:00+00:00,R235C613,0.4
